,id,name,id_province,province,id_department,department,id_location,location,postal_code,adress,webpage
11444,70821262387436,VICCO,82,SANTA FE,126,SAN MARTÍN,82126140000,SAN JORGE,2451,HIPOLITO IRIGOYEN 1351,
11445,70820632387437,PASTOR,82,SANTA FE,63,LA CAPITAL,82063160000,SAN JOSE DEL RINCON,3001,CAP. VIÑAS 154,
11446,70820632387438,SOLA,82,SANTA FE,63,LA CAPITAL,82063160000,SAN JOSE DEL RINCON,3001,SAN MARTIN 1760,
11447,70821122387439,ALMADA,82,SANTA FE,112,SAN JUSTO,82112130000,SAN JUSTO,3040,JUAN MANTOVANI 1725,
11448,70821122387440,ARNAUDO,82,SANTA FE,112,SAN JUSTO,82112130000,SAN JUSTO,3040,9 DE JULIO 2303,
11449,70821122387441,BOLLO,82,SANTA FE,112,SAN JUSTO,82112130000,SAN JUSTO,3040,AV. GDOR IRIONDO 2364,
11450,70821122387442,BOTTO,82,SANTA FE,112,SAN JUSTO,82112130000,SAN JUSTO,3040,CABAL 2518,
11451,70821122387443,D¿ANTONI,82,SANTA FE,112,SAN JUSTO,82112130000,SAN JUSTO,3040,SAN MARTIN 2298,
11452,70821122387444,DEL GIUDICE,82,SANTA FE,112,SAN JUSTO,82112130000,SAN JUSTO,3040,BV.PELLEGRINI 2823,
11454,70820632387010,MAI,82,SANTA FE,63,LA CAPITAL,82063170000,SANTA FE,3000,ARISTOBULO DEL VALLE 7302,
11455,70820632387011,MANSILLA,82,SANTA FE,63,LA CAPITAL,82063170000,SANTA FE,3000,9 DE JULIO 1181,
11456,70820632387012,MARCELO GALIZZI,82,SANTA FE,63,LA CAPITAL,82063170000,SANTA FE,3000,BLAS PARERA 8894,
11457,70820632387013,MARCHESINI,82,SANTA FE,63,LA CAPITAL,82063170000,SANTA FE,3000,ROQUE SAENZ PENA 2499,
11458,70820632387014,MARIO MARTINEZ,82,SANTA FE,63,LA CAPITAL,82063170000,SANTA FE,3000,ARISTOBULO DEL VALLE 4499,
11459,70820632387015,MARQUEZ,82,SANTA FE,63,LA CAPITAL,82063170000,SANTA FE,3000,BLAS PARERA 6574,
11460,70820632387016,MARTINEZ JUAN JOSE,82,SANTA FE,63,LA CAPITAL,82063170000,SANTA FE,3000,URQUIZA 1859,
11461,70820632387017,MAZZALI,82,SANTA FE,63,LA CAPITAL,82063170000,SANTA FE,3000,JUAN DE GARAY 2915,
11462,70820632387018,MENAPACE,82,SANTA FE,63,LA CAPITAL,82063170000,SANTA FE,3000,BLAS PARERA 7831,
11463,70820632387019,MENDEZ,82,SANTA FE,63,LA CAPITAL,82063170000,SANTA FE,3000,GUEMES 4356,
