id,name,id_location,id_department,postal_code,adress
70820842387797,GONZALEZ,82084270000,84,2000,SEGUI JUAN FRANCISCO BV 3903
70820842387798,GIOVINAZO,82084270000,84,2000,CASIANO CASAS 1284
70820842387799,G. GARCIA,82084270000,84,2000,CORRIENTES AV 4799
70820842387800,GENCIANA,82084270000,84,2000,SANTA FE 4885
70820842387709,CALVIN,82084270000,84,2000,JUNIN 1744
70820842387710,CAPPETINI,82084270000,84,2000,MATIENZO 2002
70820842387711,CUPELLINO,82084270000,84,2000,MAZA JUAN AGUSTIN 3302
70820842387712,CAPPONI,82084270000,84,2000,MENDOZA AV 6035
70820842387713,COLLA,82084270000,84,2000,MENDOZA AV 5357
70820842387716,CRUZ DEL PORTAL,82084270000,84,2000,NANSEN 248
70820842387717,CONDE,82084270000,84,2000,NECOCHEA 1245
70820842387718,COXHEAD,82084270000,84,2000,NECOCHEA 1483
70820842387719,CARDINI,82084270000,84,2000,LAGOS OVIDIO AV 421
70820842387720,CARESTIA,82084270000,84,2000,PARAGUAY 2104
70820842387721,CARUSO,82084270000,84,2000,PELLEGRINI CARLOS AV 5935
70820842387722,CHIMENTON,82084270000,84,2000,PELLEGRINI CARLOS AV 4460
70820842387723,CALVAGNA,82084270000,84,2000,PROVINCIAS UNIDAS AV 1723
70820842387724,CERRITO,82084270000,84,2000,PROVINCIAS UNIDAS AV 2102
70820842387725,CIUCCI,82084270000,84,2000,PROVINCIAS UNIDAS AV 3181
70820842387726,CAMPO,82084270000,84,2000,RODRIGUEZ 1601
70820842387727,CHIMINELLO,82084270000,84,2000,SAN JUAN 2010
70820842387728,CURTO,82084270000,84,2000,SAN LORENZO 2290
70820842387729,FARMACIA CEMAR,82084270000,84,2000,SAN LUIS 2020
70820842387730,CAVATORTA,82084270000,84,2000,SE SAN MARTIN JOSE GRL AV 5023
70820842387731,CHOIETTE,82084270000,84,2000,SE SAN MARTIN JOSE GRL AV 4842
70820842387732,CEBALLOS,82084270000,84,2000,SAN NICOLAS 1899
70820842387733,CORSI,82084270000,84,2000,TEJEDA 2666
70820212387519,CAGLIERO,82021360000,21,2322,ESTANISLAO ZEBALLOS 570
70820212387520,FENOGLIO,82021360000,21,2322,CRESPO 195
70820212387521,GARIONE,82021360000,21,2322,9 DE JULIO 23
70820212387522,GHIONE,82021360000,21,2322,SAN MARTIN 45
70820212387523,MINARDI,82021360000,21,2322,LISANDRO DE LA TORRE 510
70820212387524,MOLINA,82021360000,21,2322,ILLIA 596
70820212387525,PUSSETTO,82021360000,21,2322,AVDA. BELGRANO 402
70820212387526,ROSSO,82021360000,21,2322,ITALIA 574
70820212387527,VANDERBERGHE,82021360000,21,2322,ILLIA 596
70820212387528,CARANGI,82021370000,21,2301,SARMIENTO 135
70820492387529,CABALLERO,82049200000,49,3587,ZONA URBANA
70820212387530,PERALTA,82021380000,21,2324,9 DE JULIO 418
70820772387531,DAGATTI,82077080000,77,3060,AV.S.MARTIN ESQ.J.GARAY 1301
70820772387532,FANTINI,82077080000,77,3060,RIVADAVIA 1300
70820772387533,MARTEL,82077080000,77,3060,INDEPENDENCIA 1790
70820772387534,OLSINA,82077080000,77,3060,SAAVEDRA 1290
70820772387535,SILVA,82077080000,77,3060,RIVADAVIA 1128
70820772387536,TANOYRA,82077080000,77,3060,SAN LORENZO 1582
70820772387537,TURCO,82077080000,77,3060,SAN MARTIN 1374
70821332387538,ALESSO,82133170000,133,3550,AVENIDA LEZAMA 1978
70821332387539,APUT,82133170000,133,3550,SAN MARTIN 2019
70820842387740,FARMACIA DEL CENTRO,82084270000,84,2000,Corrientes 872
70820842387741,DEL PARQUE,82084270000,84,2000,CORRIENTES AV 1801
70820842387742,DONADO,82084270000,84,2000,DONADO 672
